Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3152972, 'date_of_service': '2023-12-20', 'service': 'CP98aSCs'}, 'record_id': 1, 'record_count': '2/68'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3386200, 'date_of_service': '2023-10-26', 'service': 'CP98aSCs'}, 'record_id': 2, 'record_count': '3/68'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3614668, 'date_of_service': '2023-10-26', 'service': 'CP98aSCs'}, 'record_id': 3, 'record_count': '4/68'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 4220117, 'date_of_service': '2023-10-26', 'service': 'CP98aSCs'}, 'record_id': 4, 'record_count': '5/68'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 1732080, 'date_of_service': '2023-11-17', 'service': 'CP98aSCs'}, 'record_id': 5, 'record_count': '6/68'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 1746551, 'date_of_service': '2023-12-19', 'service': 'CP98aSCs'}, 'record_id': 6, 'record_count': '7/68'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 1792759, 'date_of_service': '2023-12-19', 'service': 'CP98aSCs'}, 'record_id': 7, 'record_count': '8/68'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 1799555, 'date_of_service': '2023-12-08', 'service': 'CP98aSCs'}, 'record_id': 8, 'record_count': '9/68'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 1883114, 'date_of_service': '2023-11-17', 'service': 'CP98aSCs'}, 'record_id': 9, 'record_count': '10/68'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 1929222, 'date_of_service': '2023-11-17', 'service': 'CP98aSCs'}, 'record_id': 10, 'record_count': '11/68'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 1947958, 'date_of_service': '2023-11-17', 'service': 'CP98aSCs'}, 'record_id': 11, 'record_count': '12/68'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 1951077, 'date_of_service': '2023-11-17', 'service': 'CP98aSCs'}, 'record_id': 12, 'record_count': '13/68'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 1951248, 'date_of_service': '2023-12-19', 'service': 'CP98aSCs'}, 'record_id': 13, 'record_count': '14/68'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 1960700, 'date_of_service': '2023-12-19', 'service': 'CP98aSCs'}, 'record_id': 14, 'record_count': '15/68'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 2020734, 'date_of_service': '2023-11-03', 'service': 'CP98aSCs'}, 'record_id': 15, 'record_count': '16/68'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 2037549, 'date_of_service': '2023-11-17', 'service': 'CP98aSCs'}, 'record_id': 16, 'record_count': '17/68'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 2316087, 'date_of_service': '2023-12-19', 'service': 'CP98aSCs'}, 'record_id': 17, 'record_count': '18/68'}
