Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 1712259, 'date_of_service': '2023-12-20', 'service': 'CP23HEs'}, 'record_id': 1, 'record_count': '1/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3496748, 'date_of_service': '2023-12-20', 'service': 'CP23HEs'}, 'record_id': 2, 'record_count': '2/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 1933076, 'date_of_service': '2023-12-20', 'service': 'CP23HEs'}, 'record_id': 3, 'record_count': '3/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 4338845, 'date_of_service': '2023-12-20', 'service': 'CP23HEs'}, 'record_id': 4, 'record_count': '4/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 4045577, 'date_of_service': '2023-12-20', 'service': 'CP23HEs'}, 'record_id': 5, 'record_count': '5/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3453767, 'date_of_service': '2023-12-20', 'service': 'CP23HEs'}, 'record_id': 6, 'record_count': '6/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3453036, 'date_of_service': '2023-12-20', 'service': 'CP23HEs'}, 'record_id': 7, 'record_count': '7/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 1745536, 'date_of_service': '2023-12-20', 'service': 'CP23HEs'}, 'record_id': 8, 'record_count': '8/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 1716791, 'date_of_service': '2023-12-20', 'service': 'CP23HEs'}, 'record_id': 9, 'record_count': '9/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3453020, 'date_of_service': '2023-12-20', 'service': 'CP23HEs'}, 'record_id': 10, 'record_count': '10/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3479420, 'date_of_service': '2023-12-20', 'service': 'CP23HEs'}, 'record_id': 11, 'record_count': '11/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 1960457, 'date_of_service': '2023-12-20', 'service': 'CP23HEs'}, 'record_id': 12, 'record_count': '12/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3474105, 'date_of_service': '2023-12-20', 'service': 'CP23HEs'}, 'record_id': 13, 'record_count': '13/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 4061957, 'date_of_service': '2023-12-20', 'service': 'CP23HEs'}, 'record_id': 14, 'record_count': '14/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 1720937, 'date_of_service': '2023-12-20', 'service': 'CP23HEs'}, 'record_id': 15, 'record_count': '15/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3453654, 'date_of_service': '2023-12-20', 'service': 'CP23HEs'}, 'record_id': 16, 'record_count': '16/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 4339029, 'date_of_service': '2023-12-20', 'service': 'CP23HEs'}, 'record_id': 17, 'record_count': '17/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3478613, 'date_of_service': '2023-12-20', 'service': 'CP23HEs'}, 'record_id': 18, 'record_count': '18/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 1694328, 'date_of_service': '2023-12-20', 'service': 'CP23HEs'}, 'record_id': 19, 'record_count': '19/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 4339034, 'date_of_service': '2023-12-20', 'service': 'CP23HEs'}, 'record_id': 20, 'record_count': '20/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 2017561, 'date_of_service': '2023-12-20', 'service': 'CP23HEs'}, 'record_id': 21, 'record_count': '21/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 1730277, 'date_of_service': '2023-12-20', 'service': 'CP23HEs'}, 'record_id': 22, 'record_count': '22/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 4087970, 'date_of_service': '2023-12-20', 'service': 'CP23HEs'}, 'record_id': 23, 'record_count': '23/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3458520, 'date_of_service': '2023-12-20', 'service': 'CP23HEs'}, 'record_id': 24, 'record_count': '24/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 2017768, 'date_of_service': '2023-12-20', 'service': 'CP23HEs'}, 'record_id': 25, 'record_count': '25/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 1681862, 'date_of_service': '2023-12-20', 'service': 'CP23HEs'}, 'record_id': 26, 'record_count': '26/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 1965952, 'date_of_service': '2023-12-20', 'service': 'CP23HEs'}, 'record_id': 27, 'record_count': '27/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3479367, 'date_of_service': '2023-12-20', 'service': 'CP23HEs'}, 'record_id': 28, 'record_count': '28/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 1725394, 'date_of_service': '2023-12-20', 'service': 'CP23HEs'}, 'record_id': 29, 'record_count': '29/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3452670, 'date_of_service': '2023-12-20', 'service': 'CP23HEs'}, 'record_id': 30, 'record_count': '30/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3452692, 'date_of_service': '2023-12-20', 'service': 'CP23HEs'}, 'record_id': 31, 'record_count': '31/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3692427, 'date_of_service': '2023-12-20', 'service': 'CP23HEs'}, 'record_id': 32, 'record_count': '32/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3692415, 'date_of_service': '2023-12-20', 'service': 'CP23HEs'}, 'record_id': 33, 'record_count': '33/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 4254158, 'date_of_service': '2023-12-20', 'service': 'CP23HEs'}, 'record_id': 34, 'record_count': '34/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3692410, 'date_of_service': '2023-12-20', 'service': 'CP23HEs'}, 'record_id': 35, 'record_count': '35/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3989977, 'date_of_service': '2023-12-20', 'service': 'CP23HEs'}, 'record_id': 36, 'record_count': '36/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3458839, 'date_of_service': '2023-12-20', 'service': 'CP23HEs'}, 'record_id': 37, 'record_count': '37/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 1719107, 'date_of_service': '2023-12-20', 'service': 'CP23HEs'}, 'record_id': 38, 'record_count': '38/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 4087973, 'date_of_service': '2023-12-20', 'service': 'CP23HEs'}, 'record_id': 39, 'record_count': '39/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3453282, 'date_of_service': '2023-12-20', 'service': 'CP23HEs'}, 'record_id': 40, 'record_count': '40/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3476069, 'date_of_service': '2023-12-20', 'service': 'CP23HEs'}, 'record_id': 41, 'record_count': '41/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3489447, 'date_of_service': '2023-12-20', 'service': 'CP23HEs'}, 'record_id': 42, 'record_count': '42/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3699878, 'date_of_service': '2023-12-20', 'service': 'CP23HEs'}, 'record_id': 43, 'record_count': '43/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3699836, 'date_of_service': '2023-12-20', 'service': 'CP23HEs'}, 'record_id': 44, 'record_count': '44/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 2216735, 'date_of_service': '2023-12-20', 'service': 'CP23HEs'}, 'record_id': 45, 'record_count': '45/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3504798, 'date_of_service': '2023-12-20', 'service': 'CP23HEs'}, 'record_id': 46, 'record_count': '46/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3452249, 'date_of_service': '2023-12-07', 'service': 'CP23HEs'}, 'record_id': 47, 'record_count': '47/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 4031373, 'date_of_service': '2023-12-07', 'service': 'CP23HEs'}, 'record_id': 48, 'record_count': '48/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3466197, 'date_of_service': '2023-12-07', 'service': 'CP23HEs'}, 'record_id': 49, 'record_count': '49/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3034734, 'date_of_service': '2023-12-07', 'service': 'CP23HEs'}, 'record_id': 50, 'record_count': '50/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 1855312, 'date_of_service': '2023-12-07', 'service': 'CP23HEs'}, 'record_id': 51, 'record_count': '51/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 1992596, 'date_of_service': '2023-12-07', 'service': 'CP23HEs'}, 'record_id': 52, 'record_count': '52/238'}
